month,Medio,hhi,n_entities
2024-08,Reporte Indigo,0.0015152137509682395,8241
2024-08,Sin Embargo,0.0017640961413386185,11614
2024-08,The New York Times,0.00726564071697597,3913
2024-08,The Washington Post,0.0034110938860454085,583
2024-09,Animal Politico,0.002287211724845974,5861
2024-09,El Economista,0.0014493177040613308,10519
2024-09,El Financiero,0.0030486489849241415,4895
2024-09,El Heraldo,0.001125009053329836,10812
2024-09,El Pais,0.0013898283872456894,9381
2024-09,El Sol de Mexico,0.0017914001740739957,12050
2024-09,El Universal,0.0012728405762307943,22336
2024-09,Excelsior,0.001620289732397248,8268
2024-09,Infobae,0.0006007990396925413,33081
2024-09,La Jornada,0.0013987420623677535,13234
2024-09,Latinus,0.0026912417109418445,6365
2024-09,Los Angeles Times,0.0006471027912868989,11806
2024-09,Proceso,0.001231383530487812,9424
2024-09,Reporte Indigo,0.0016193325052104178,8267
2024-09,Sin Embargo,0.00188975547651119,10586
2024-09,The New York Times,0.005552934473090118,1386
2024-10,Animal Politico,0.001756216089101105,5323
2024-10,El Economista,0.0015363075549651162,12099
2024-10,El Financiero,0.0031833477250325097,4595
2024-10,El Heraldo,0.00099056204399911,11570
2024-10,El Pais,0.0015065989002288184,9776
2024-10,El Sol de Mexico,0.0014283902325095356,13014
2024-10,El Universal,0.0019960756628049346,23270
2024-10,Excelsior,0.0015382864816439624,8322
2024-10,Infobae,0.0007011021641434867,12497
2024-10,La Jornada,0.0014096617837941073,12849
2024-10,Latinus,0.0021376243158860073,7143
2024-10,Los Angeles Times,0.0012541426009493755,12734
2024-10,Proceso,0.0011198703863818085,9167
2024-10,Reporte Indigo,0.001537459124617386,8276
2024-10,Sin Embargo,0.001845344627373898,10426
2024-10,The New York Times,0.0033438366644951327,1512
2024-11,Animal Politico,0.0017223220210189232,4517
2024-11,El Economista,0.0021008591514444807,7436
2024-11,El Financiero,0.0021433998925897875,2792
2024-11,El Heraldo,0.001709100331195258,5907
2024-11,El Pais,0.0016426332205785623,5510
2024-11,El Sol de Mexico,0.0014960014826442664,10037
2024-11,El Universal,0.0020443211011601284,14132
2024-11,Excelsior,0.0019011225110202598,6608
2024-11,La Jornada,0.0015059031040324327,9212
2024-11,Latinus,0.002003766982573315,5170
2024-11,Los Angeles Times,0.0017617412384559902,9489
2024-11,Proceso,0.001106757760373049,7359
2024-11,Reporte Indigo,0.0014979991063430098,6544
2024-11,Sin Embargo,0.0019231981392653565,7481
2024-11,The New York Times,0.004501845594171998,882
2024-12,Animal Politico,0.0010869031554178777,5395
2024-12,El Economista,0.00171863778216884,10491
2024-12,El Financiero,0.0025558726191323823,3485
2024-12,El Heraldo,0.0012611758088754037,13364
2024-12,El Pais,0.0014292350861594269,9812
2024-12,El Sol de Mexico,0.0012464016277762436,11025
2024-12,El Universal,0.001949297931018085,21605
2024-12,Excelsior,0.001516637100670698,8320
2024-12,Infobae,0.0004606463180574126,39825
2024-12,La Jornada,0.0013371087028961502,11583
2024-12,Latinus,0.0014849645035675456,7200
2024-12,Los Angeles Times,0.0012007677211248373,10971
2024-12,Proceso,0.0010112353425723358,9893
2024-12,Reporte Indigo,0.0016167715354562257,6530
2024-12,Sin Embargo,0.002015611104262548,10860
2024-12,The New York Times,0.004378107894122136,952
2025-01,Animal Politico,0.0017115683132058095,5181
2025-01,El Economista,0.0026537176533578395,10919
2025-01,El Financiero,0.003390879830092206,3267
2025-01,El Heraldo,0.0018393522446589023,11027
2025-01,El Pais,0.0019838186217443275,8808
2025-01,El Sol de Mexico,0.0015340694254617642,11593
2025-01,El Universal,0.0022601742997630627,22561
2025-01,Excelsior,0.0023279933338053427,7944
2025-01,Infobae,0.0006882018318491827,39888
2025-01,La Jornada,0.0017345990875480821,12044
2025-01,Latinus,0.001955550565314807,5924
2025-01,Los Angeles Times,0.0014772359616899735,11150
2025-01,Proceso,0.0012337929337156268,9702
2025-01,Reporte Indigo,0.0017969835532535058,6710
