month,Medio,dist_to_global_mean,dist_to_mx_mean,dist_to_us_mean
2024-02,Animal Politico,0.34722047567385994,0.3274770697839231,0.946567354366675
2024-02,El Economista,0.3814079977135826,0.37310518271117277,0.9053555877079531
2024-02,El Financiero,0.1556410833721984,0.13721750340585093,0.9007994939112469
2024-02,El Heraldo,0.44432320468457176,0.4310413830495785,0.9396094142338502
2024-02,El Pais,0.30214660844172503,0.29203447076714417,0.89638124649993
2024-02,El Sol de Mexico,0.19153112926532967,0.16796858272702175,0.9300609288357021
2024-02,El Universal,0.18668542205205063,0.16143991213469733,0.9361618463184044
2024-02,Excelsior,0.3339521833306264,0.30769392154280895,0.9713359288284247
2024-02,Infobae,0.3697583437930273,0.3617954555724001,0.9014743503895299
2024-02,La Jornada,0.20208070679062184,0.18118361301750618,0.9210014566804475
2024-02,Latinus,0.18537703040693898,0.1611557161026218,0.9315560015789038
2024-02,Los Angeles Times,0.7345704654694026,0.9247304561581128,0.1401232354344999
2024-02,Milenio,0.2041459562975213,0.178498967440891,0.9415222983360237
2024-02,Proceso,0.39317770996847234,0.38178393194487736,0.9208963280461735
2024-02,Sin Embargo,0.5757576841052516,0.5641599014038982,0.9600575615893217
2024-02,The New York Times,0.7693992516410597,0.9359267912057812,0.24737226076915264
2024-02,The Washington Post,0.69584620681777,0.9016567811447045,0.06581294508168933
2024-03,Animal Politico,0.22456688009154857,0.2095669689903612,0.8962914603771701
2024-03,El Economista,0.2777448568849782,0.27030266636298894,0.8715565320245373
2024-03,El Financiero,0.10682918862092428,0.08731429078272923,0.8914587708395632
2024-03,El Heraldo,0.6127456897930451,0.623337529103156,0.8600038594455656
2024-03,El Pais,0.33112467332948936,0.33472465939165175,0.8298713266629923
2024-03,El Sol de Mexico,0.1550143603603752,0.14427830783208617,0.8596286508734647
2024-03,El Universal,0.18637867473141034,0.17109535842011936,0.8889632045527484
2024-03,Excelsior,0.2783624814653235,0.2710634655099735,0.8709990404956726
2024-03,Infobae,0.19994565903871708,0.1934593785083062,0.8491480318679197
2024-03,La Jornada,0.10938998198152317,0.09048020783401811,0.8890912375885993
2024-03,Latinus,0.14642874212399248,0.11999537635948299,0.934237910874844
2024-03,Los Angeles Times,0.6866194430929642,0.8597768757859243,0.08389945241905461
2024-03,Proceso,0.2954212213973132,0.2829770057676234,0.8999871112060066
2024-03,Reporte Indigo,0.2050234586524926,0.1820122104726185,0.9309109780394642
2024-03,Sin Embargo,0.5822025672621486,0.5785879563182423,0.9223326047298506
2024-03,The New York Times,0.7280753023036716,0.8947488068673578,0.12498243340757254
2024-03,The Washington Post,0.691666513138923,0.878627497925929,0.017720357523749786
2024-04,Animal Politico,0.38654143573129796,0.3787600588826757,0.9046516454244433
2024-04,El Economista,0.5784448371252353,0.5747384332589219,0.9258758683136302
2024-04,El Financiero,0.09525439107149436,0.07833602707817267,0.8879116295092933
2024-04,El Heraldo,0.33061356869882874,0.31342891398493467,0.9415419474256043
2024-04,El Pais,0.3187233568970087,0.3286849640657612,0.7965718171971086
2024-04,El Sol de Mexico,0.12573079262136477,0.11370471267916804,0.8690245031936152
2024-04,El Universal,0.1785140436977667,0.16330373408006038,0.8974342027096949
2024-04,Excelsior,0.09243137135807511,0.07614461263259209,0.8839735199523273
2024-04,Infobae,0.1676377592130489,0.16601661877270013,0.823770652617247
2024-04,La Jornada,0.10900070119752658,0.09425521599357511,0.8795697193968323
2024-04,Latinus,0.1321068004509135,0.10686844035645893,0.9397132135183917
2024-04,Los Angeles Times,0.7001911147591151,0.8609632582788788,0.09051359121960101
2024-04,Proceso,0.14995559663571434,0.1404093827784445,0.861398550197156
2024-04,Reporte Indigo,0.31515386109875665,0.292320584610248,0.9677273580335322
2024-04,Sin Embargo,0.5449497711377832,0.5356604602426531,0.947714075220366
2024-04,The New York Times,0.7256097550575785,0.8863813053570709,0.09615795322881315
2024-04,The Washington Post,0.7055461418004312,0.8792552550961379,0.023871879511194627
2024-05,Animal Politico,0.2503790457942934,0.2437736990887378,0.8927595035898094
2024-05,El Economista,0.5478410806124081,0.544273535514048,0.932365369414355
2024-05,El Financiero,0.08192266884187938,0.07238050629435444,0.8789392617994858
2024-05,El Heraldo,0.6285518171705657,0.6226290795390941,0.9656127839405314
2024-05,El Pais,0.35905797194982947,0.3673037939854845,0.8099816946362126
2024-05,El Sol de Mexico,0.1407573556266617,0.1368574954357844,0.8510941577051375
2024-05,El Universal,0.18571183237046784,0.17742992982921613,0.8913406679011061
2024-05,Excelsior,0.08493915346909253,0.07764506350647027,0.8636491639602675
2024-05,Infobae,0.304969621075287,0.31040409591949236,0.81876695180247
2024-05,La Jornada,0.11531248640086622,0.10776693284794525,0.8716680683198901
2024-05,Latinus,0.12744347291479075,0.11260114072838001,0.925799748176415
2024-05,Los Angeles Times,0.7345003391539773,0.8536757847357354,0.10204942347996027
2024-05,Proceso,0.1496415379049627,0.14176314812083224,0.8810754343016532
2024-05,Reporte Indigo,0.3546543119169382,0.3405603816856313,0.9671768503107899
2024-05,Sin Embargo,0.3667214291524482,0.3566375657938008,0.9412761926226146
2024-05,The New York Times,0.7728617659279726,0.8953297281308206,0.08662828130059141
2024-05,The Washington Post,0.7536490103408469,0.876141816137591,0.08250578281059451
2024-06,Animal Politico,0.22820078246601494,0.21145698210628416,0.9109771853249079
2024-06,El Economista,0.20995951839548843,0.2050050448423617,0.8439058033478828
2024-06,El Financiero,0.09531454085183166,0.07729509251653766,0.8870800601925612
2024-06,El Heraldo,0.1392031888996902,0.12107258629404472,0.8978115767938908
